Read 1	Read 2	Accession Number
CUTnTag_TX1072_XO_H3K36me3_d2_r1_1.fastq	CUTnTag_TX1072_XO_H3K36me3_d2_r1_2.fastq	GSM5102731
CUTnTag_TX1072_XO_H3K36me3_d2_r2_1.fastq	CUTnTag_TX1072_XO_H3K36me3_d2_r2_2.fastq	GSM5102732
CUTnTag_TX1072_XO_H2AK119ub_d2_r1_1.fastq	CUTnTag_TX1072_XO_H2AK119ub_d2_r1_2.fastq	GSM5102733
CUTnTag_TX1072_XO_H2AK119ub_d2_r2_1.fastq	CUTnTag_TX1072_XO_H2AK119ub_d2_r2_2.fastq	GSM5102734
CUTnTag_TX1072_XO_IgG_d2_r1_1.fastq	CUTnTag_TX1072_XO_IgG_d2_r1_2.fastq	GSM5102735
CUTnTag_TX1072_XO_IgG_d2_r2_1.fastq	CUTnTag_TX1072_XO_IgG_d2_r2_2.fastq	GSM5102736
CUTnTag_TX1072_XO_H3K4me3_d4_r1_1.fastq	CUTnTag_TX1072_XO_H3K4me3_d4_r1_2.fastq	GSM5102737
CUTnTag_TX1072_XO_H3K4me3_d4_r2_1.fastq	CUTnTag_TX1072_XO_H3K4me3_d4_r2_2.fastq	GSM5102738
CUTnTag_TX1072_XO_H3K27ac_d4_r1_1.fastq	CUTnTag_TX1072_XO_H3K27ac_d4_r1_2.fastq	GSM5102739
CUTnTag_TX1072_XO_H3K27ac_d4_r2_1.fastq	CUTnTag_TX1072_XO_H3K27ac_d4_r2_2.fastq	GSM5102740
CUTnTag_TX1072_XO_H3K4me1_d4_r1_1.fastq	CUTnTag_TX1072_XO_H3K4me1_d4_r1_2.fastq	GSM5102741
CUTnTag_TX1072_XO_H3K4me1_d4_r2_1.fastq	CUTnTag_TX1072_XO_H3K4me1_d4_r2_2.fastq	GSM5102742
CUTnTag_TX1072_XO_H3K9me3_d4_r1_1.fastq	CUTnTag_TX1072_XO_H3K9me3_d4_r1_2.fastq	GSM5102743
CUTnTag_TX1072_XO_H3K9me3_d4_r2_1.fastq	CUTnTag_TX1072_XO_H3K9me3_d4_r2_2.fastq	GSM5102744
CUTnTag_TX1072_XO_H3K27me3_d4_r1_1.fastq	CUTnTag_TX1072_XO_H3K27me3_d4_r1_2.fastq	GSM5102745
CUTnTag_TX1072_XO_H3K27me3_d4_r2_1.fastq	CUTnTag_TX1072_XO_H3K27me3_d4_r2_2.fastq	GSM5102746
CUTnTag_TX1072_XO_H3K36me3_d4_r1_1.fastq	CUTnTag_TX1072_XO_H3K36me3_d4_r1_2.fastq	GSM5102747
CUTnTag_TX1072_XO_H3K36me3_d4_r2_1.fastq	CUTnTag_TX1072_XO_H3K36me3_d4_r2_2.fastq	GSM5102748
CUTnTag_TX1072_XO_H2AK119ub_d4_r1_1.fastq	CUTnTag_TX1072_XO_H2AK119ub_d4_r1_2.fastq	GSM5102749
CUTnTag_TX1072_XO_H2AK119ub_d4_r2_1.fastq	CUTnTag_TX1072_XO_H2AK119ub_d4_r2_2.fastq	GSM5102750
CUTnTag_TX1072_XO_IgG_d4_r1_1.fastq	CUTnTag_TX1072_XO_IgG_d4_r1_2.fastq	GSM5102751
CUTnTag_TX1072_XO_IgG_d4_r2_1.fastq	CUTnTag_TX1072_XO_IgG_d4_r2_2.fastq	GSM5102752
pA_RNA_TX1072_XX_d2_1.fastq	pA_RNA_TX1072_XX_d2_2.fastq	GSM5102753
STARR_1.8_XX_d0_r1_1.fastq	STARR_1.8_XX_d0_r1_2.fastq	GSM5102754
STARR_1.8_XX_d0_r2_1.fastq	STARR_1.8_XX_d0_r2_2.fastq	GSM5102755
STARR_1.8_XX_d0_r3_1.fastq	STARR_1.8_XX_d0_r3_2.fastq	GSM5102756
STARR_1.8_XX_d2_r1_1.fastq	STARR_1.8_XX_d2_r1_2.fastq	GSM5102757
STARR_1.8_XX_d2_r2_1.fastq	STARR_1.8_XX_d2_r2_2.fastq	GSM5102758
STARR_1.8_XX_d2_r3_1.fastq	STARR_1.8_XX_d2_r3_2.fastq	GSM5102759
STARR_1.8_XO_d0_r1_1.fastq	STARR_1.8_XO_d0_r1_2.fastq	GSM5102760
