run_accession sra_ftp
ERR1041571 E4.late.33.3162.fastq
ERR1041572 E4.late.33.3163.fastq
ERR1041573 E4.late.33.3164.fastq
ERR1041574 E4.late.33.3165.fastq
ERR1041575 E4.late.33.3166.fastq
ERR1041576 E4.late.33.3167.fastq
ERR1041577 E4.late.34.3169.fastq
ERR1041578 E4.late.34.3170.fastq
ERR1041579 E4.late.34.3171.fastq
ERR1041580 E4.late.34.3172.fastq
ERR1041581 E4.late.34.3173.fastq
ERR1041582 E4.late.34.3174.fastq
ERR1041583 E4.late.34.3175.fastq
ERR1041584 E4.late.34.3176.fastq
ERR1041585 E4.late.34.3178.fastq
ERR1041586 E4.late.34.3179.fastq
ERR1041587 E4.late.34.3180.fastq
ERR1041588 E4.late.34.3181.fastq
ERR1041589 E4.late.34.3182.fastq
ERR1041590 E4.late.34.3183.fastq
ERR1041591 E4.late.34.3184.fastq
ERR1041592 E4.late.34.3185.fastq
ERR1041593 E4.late.34.3186.fastq
ERR1041594 E4.late.34.3188.fastq
ERR1041595 E4.late.34.3189.fastq
ERR1041596 E4.late.34.3190.fastq
ERR1041597 E4.late.34.3191.fastq
ERR1041598 E4.late.34.3192.fastq
ERR1041599 E4.late.35.3193.fastq
ERR1041600 E4.late.35.3195.fastq
ERR1041601 E4.late.35.3196.fastq
ERR1041602 E4.late.35.3197.fastq
ERR1041603 E4.late.35.3199.fastq
ERR1041604 E4.late.35.3200.fastq
ERR1041605 E4.late.35.3201.fastq
ERR1041606 E4.late.35.3202.fastq
ERR1041607 E4.late.35.3203.fastq
ERR1041608 E4.late.35.3204.fastq
ERR1041609 E4.late.35.3205.fastq
ERR1041610 E4.late.35.3207.fastq
ERR1041611 E4.late.35.3208.fastq
ERR1041612 E4.late.35.3209.fastq
ERR1041613 E4.late.35.3212.fastq
ERR1041614 E5.1.26.fastq
ERR1041615 E5.1.28.fastq
ERR1041616 E5.1.30.fastq
ERR1041617 E5.1.31.fastq
ERR1041618 E5.1.32.fastq
ERR1041619 E5.10.932.fastq
ERR1041620 E5.10.933.fastq
ERR1041621 E5.10.934.fastq
ERR1041622 E5.10.935.fastq
ERR1041623 E5.10.936.fastq
ERR1041624 E5.10.937.fastq
ERR1041625 E5.10.938.fastq
ERR1041626 E5.10.939.fastq
ERR1041627 E5.10.940.fastq
ERR1041628 E5.10.941.fastq
ERR1041629 E5.10.942.fastq
ERR1041630 E5.10.943.fastq
ERR1041631 E5.10.944.fastq
ERR1041632 E5.10.945.fastq
ERR1041633 E5.10.947.fastq
ERR1041634 E5.10.948.fastq
ERR1041635 E5.10.949.fastq
ERR1041636 E5.10.950.fastq
ERR1041637 E5.11.951.fastq
ERR1041638 E5.11.952.fastq
ERR1041639 E5.11.953.fastq
ERR1041640 E5.11.955.fastq
ERR1041641 E5.11.956.fastq
