id	re	Plasmid_library
gRNA_2588	RE58	1279.4043956043954
gRNA_93	RE6	1118.2274725274722
gRNA_965	RE26	1575.72967032967
gRNA_4827	RE105	575.631868131868
gRNA_7005	RE138	920.0098901098899
gRNA_4511	RE96	646.70989010989
gRNA_1710	RE45	928.0186813186812
gRNA_3390	RE73	794.8725274725273
gRNA_882	RE23	924.0142857142855
gRNA_834	RE22	780.8571428571427
gRNA_3914	RE84	1377.5120879120875
gRNA_3222	RE70	763.8384615384614
gRNA_6476	RE127	519.5703296703296
gRNA_4503	RE96	458.5032967032966
gRNA_949	RE25	963.0571428571426
gRNA_6408	RE127	1539.6901098901096
gRNA_1772	RE46	890.9780219780217
gRNA_762	RE22	1443.584615384615
gRNA_4169	RE88	506.5560439560438
gRNA_6531	RE127	1314.4428571428568
gRNA_2923	RE64	728.7999999999998
gRNA_4160	RE88	991.0879120879118
gRNA_5042	RE107	1201.318681318681
gRNA_2680	RE60	695.7637362637361
gRNA_2810	RE61	1215.3340659340656
gRNA_701	RE22	344.3780219780219
gRNA_1304	RE35	1084.1901098901096
BRDN0000738256	NT	819.8999999999999
gRNA_2426	RE57	847.930769230769
gRNA_1292	RE35	892.9802197802196
gRNA_6902	RE135	1163.276923076923
gRNA_4131	RE88	992.0890109890107
BRDN0000737937	NT	990.086813186813
gRNA_3419	RE74	744.8175824175822
gRNA_6715	RE130	1177.2923076923075
gRNA_561	RE18	1220.3395604395603
gRNA_2030	RE50	918.0076923076921
gRNA_5724	RE116	752.8263736263734
gRNA_5215	RE110	1206.3241758241757
gRNA_4715	RE101	1184.2999999999997
gRNA_3098	RE67	993.0901098901097
gRNA_5274	RE111	718.7890109890109
gRNA_2989	RE65	932.0230769230767
gRNA_5793	RE118	1341.4725274725272
gRNA_3794	RE82	529.5813186813185
gRNA_5712	RE116	841.9241758241757
gRNA_2583	RE58	1334.4648351648348
gRNA_966	RE26	667.7329670329668
gRNA_4650	RE99	986.0824175824174
gRNA_2398	RE57	1343.474725274725
BRDN0000737573	NT	956.0494505494503
gRNA_6928	RE136	968.0626373626371
gRNA_7026	RE138	1350.4824175824174
gRNA_2697	RE61	1399.5362637362634
gRNA_4986	RE106	779.8560439560438
gRNA_4273	RE90	874.9604395604393
BRDN0000738079	NT	1690.8560439560435
gRNA_2405	RE57	364.3999999999999
gRNA_5240	RE111	315.34615384615375
gRNA_4945	RE105	342.3758241758241
gRNA_1138	RE30	1645.806593406593
gRNA_111	RE7	893.9813186813185
gRNA_6392	RE127	889.9769230769228
gRNA_2534	RE57	1339.4703296703294
gRNA_5860	RE120	440.4835164835164
gRNA_2916	RE64	856.9406593406592
gRNA_4731	RE102	485.53296703296695
gRNA_4254	RE90	645.708791208791
gRNA_5923	RE120	426.46813186813176
gRNA_5306	RE111	1262.385714285714
gRNA_1267	RE33	971.0659340659339
gRNA_5840	RE119	1111.21978021978
gRNA_4829	RE105	887.9747252747251
gRNA_514	RE18	1129.2395604395601
gRNA_2631	RE60	1503.650549450549
gRNA_3494	RE76	885.9725274725273
gRNA_2023	RE50	561.6164835164834
gRNA_4355	RE93	686.753846153846
gRNA_1436	RE38	1179.2945054945053
gRNA_6589	RE128	916.0054945054943
gRNA_4381	RE93	1025.1252747252745
gRNA_2489	RE57	384.4219780219779
gRNA_4423	RE93	750.8241758241757
gRNA_3624	RE79	970.0648351648349
gRNA_4924	RE105	941.0329670329668
gRNA_5603	RE113	1187.3032967032964
gRNA_2761	RE61	947.0395604395602
gRNA_3246	RE70	1626.785714285714
gRNA_5497	RE112	955.0483516483514
gRNA_5972	RE121	1073.1780219780217
gRNA_1263	RE33	800.8791208791207
gRNA_3243	RE70	829.9109890109888
gRNA_3977	RE85	1137.2483516483514
gRNA_5534	RE112	877.9637362637361
gRNA_2837	RE62	521.5725274725273
gRNA_5520	RE112	945.0373626373624
gRNA_5619	RE113	860.9450549450547
gRNA_3498	RE76	863.9483516483515
gRNA_2269	RE55	738.8109890109888
gRNA_5384	RE111	745.8186813186811
gRNA_5884	RE120	427.46923076923065
gRNA_4813	RE105	1256.3791208791206
gRNA_4363	RE93	877.9637362637361
gRNA_4830	RE105	1149.2615384615383
gRNA_4446	RE94	850.9340659340658
gRNA_5755	RE116	1138.2494505494503
gRNA_6633	RE128	729.8010989010987
gRNA_6917	RE136	1232.352747252747
gRNA_4526	RE96	1095.2021978021976
gRNA_4512	RE96	1112.2208791208789
gRNA_7050	RE138	391.4296703296702
gRNA_3554	RE77	871.9571428571427
BRDN0000738329	NT	444.487912087912
gRNA_3155	RE68	1366.4999999999998
gRNA_4689	RE100	1176.2912087912084
gRNA_5733	RE116	582.6395604395603
gRNA_5014	RE107	617.6780219780219
gRNA_2585	RE58	1419.5582417582414
gRNA_383	RE15	1124.2340659340657
gRNA_1090	RE30	1600.7571428571425
gRNA_1936	RE49	725.7967032967032
gRNA_1920	RE49	1243.3648351648349
gRNA_1153	RE30	1488.6340659340656
BRDN0000737996	NT	1334.4648351648348
gRNA_4887	RE105	858.942857142857
gRNA_4333	RE91	1122.231868131868
gRNA_2087	RE52	1039.140659340659
gRNA_813	RE22	836.9186813186811
gRNA_2258	RE55	1046.1483516483513
gRNA_4376	RE93	1796.972527472527
BRDN0000738152	NT	866.9516483516481
gRNA_5129	RE108	527.5791208791208
gRNA_381	RE15	1209.3274725274723
gRNA_441	RE17	708.7780219780218
gRNA_2764	RE61	1121.230769230769
gRNA_5797	RE118	1791.9670329670325
gRNA_3129	RE68	1201.318681318681
gRNA_1180	RE31	838.9208791208789
gRNA_534	RE18	1217.3362637362634
gRNA_6744	RE130	595.6538461538461
gRNA_3204	RE68	1015.1142857142855
gRNA_2049	RE50	798.8769230769229
gRNA_2703	RE61	796.874725274725
gRNA_5562	RE112	1210.3285714285712
gRNA_7012	RE138	936.0274725274724
gRNA_1010	RE28	807.886813186813
gRNA_2934	RE64	188.20659340659336
gRNA_1929	RE49	720.7912087912086
gRNA_4177	RE88	887.9747252747251
gRNA_3598	RE78	455.4999999999999
gRNA_5653	RE114	949.041758241758
gRNA_5402	RE111	687.7549450549449
gRNA_7051	RE138	1070.174725274725
gRNA_2663	RE60	373.40989010989
gRNA_4228	RE90	1566.71978021978
gRNA_3049	RE66	818.8989010989009
gRNA_5353	RE111	808.8879120879119
gRNA_627	RE21	1161.274725274725
gRNA_348	RE14	714.7846153846152
gRNA_4811	RE105	1176.2912087912084
gRNA_1445	RE38	1208.3263736263734
gRNA_2199	RE53	1057.1604395604393
gRNA_1629	RE43	1084.1901098901096
gRNA_2423	RE57	1447.5890109890106
gRNA_3861	RE84	829.9109890109888
gRNA_5355	RE111	921.0109890109889
gRNA_2425	RE57	390.42857142857133
gRNA_6304	RE126	866.9516483516481
gRNA_48	RE4	812.8923076923076
gRNA_2714	RE61	473.5197802197801
gRNA_4271	RE90	358.3934065934065
gRNA_5866	RE120	1173.2879120879118
gRNA_4321	RE90	596.654945054945
gRNA_6120	RE123	1449.5912087912084
gRNA_2658	RE60	758.8329670329668
gRNA_4117	RE87	681.7483516483514
gRNA_3643	RE79	778.8549450549449
gRNA_3893	RE84	654.7186813186812
gRNA_5816	RE119	1148.2604395604394
gRNA_3588	RE78	1471.6153846153843
gRNA_791	RE22	1355.4879120879118
gRNA_1	RE1	1171.285714285714
gRNA_2271	RE55	1038.1395604395602
gRNA_5585	RE113	701.7703296703295
gRNA_3248	RE70	480.5274725274724
gRNA_3775	RE82	1523.6725274725272
gRNA_1253	RE33	867.952747252747
gRNA_4319	RE90	653.7175824175823
gRNA_1689	RE43	919.008791208791
gRNA_3804	RE83	1310.4384615384613
gRNA_2069	RE51	850.9340659340658
gRNA_6788	RE132	566.6219780219778
gRNA_2973	RE65	1304.4318681318678
gRNA_547	RE18	1214.3329670329667
gRNA_3747	RE81	1247.3692307692304
gRNA_6268	RE126	448.4923076923076
gRNA_3297	RE71	1118.2274725274722
gRNA_2572	RE58	587.6450549450548
gRNA_4148	RE88	863.9483516483515
gRNA_3345	RE72	771.8472527472526
gRNA_6941	RE137	1011.1098901098899
gRNA_1729	RE45	755.8296703296702
gRNA_4474	RE95	412.45274725274714
gRNA_6333	RE127	1080.185714285714
gRNA_1752	RE45	941.0329670329668
gRNA_6443	RE127	1116.2252747252744
gRNA_5848	RE119	1131.241758241758
gRNA_6307	RE126	925.0153846153844
gRNA_1847	RE47	1230.3505494505491
BRDN0000738319	NT	775.8516483516481
gRNA_6835	RE134	1157.2703296703294
gRNA_4449	RE94	781.8582417582415
gRNA_1649	RE43	931.0219780219778
gRNA_6690	RE130	916.0054945054943
gRNA_3609	RE79	839.9219780219778
gRNA_4165	RE88	540.5934065934065
gRNA_3316	RE71	1014.1131868131865
gRNA_1383	RE36	1088.1945054945052
gRNA_1339	RE36	857.9417582417581
gRNA_1050	RE30	995.0923076923075
gRNA_4758	RE103	784.8615384615383
gRNA_4174	RE88	907.9967032967031
gRNA_6574	RE127	661.7263736263735
gRNA_4840	RE105	1354.486813186813
gRNA_5968	RE121	1221.3406593406592
gRNA_6094	RE123	663.7285714285713
gRNA_5257	RE111	1069.1736263736261
gRNA_4685	RE100	1297.4241758241756
gRNA_6160	RE123	924.0142857142855
gRNA_3941	RE85	599.6582417582416
gRNA_1782	RE46	1071.175824175824
gRNA_6703	RE130	1360.4934065934062
gRNA_5096	RE108	448.4923076923076
gRNA_1692	RE43	958.0516483516482
gRNA_3839	RE84	439.4824175824175
gRNA_820	RE22	1497.6439560439558
gRNA_2552	RE58	316.3472527472527
gRNA_3555	RE77	747.820879120879
gRNA_1770	RE46	1084.1901098901096
gRNA_5054	RE107	910.9999999999998
gRNA_3247	RE70	685.7527472527471
gRNA_5291	RE111	1226.3461538461536
gRNA_6247	RE125	620.6813186813185
gRNA_1684	RE43	1468.6120879120876
gRNA_5989	RE121	732.8043956043955
gRNA_2137	RE52	1095.2021978021976
gRNA_2873	RE63	1380.5153846153844
gRNA_3281	RE71	729.8010989010987
gRNA_3203	RE68	452.4967032967032
gRNA_4491	RE96	769.8450549450548
gRNA_6095	RE123	778.8549450549449
gRNA_3675	RE80	1032.1329670329667
gRNA_4459	RE94	774.8505494505492
gRNA_6139	RE123	960.0538461538459
gRNA_1515	RE39	775.8516483516481
gRNA_2558	RE58	843.9263736263734
gRNA_6067	RE122	479.5263736263735
gRNA_844	RE22	849.9329670329669
gRNA_1597	RE42	982.0780219780218
gRNA_360	RE15	455.4999999999999
gRNA_2518	RE57	894.9824175824174
gRNA_62	RE4	854.9384615384613
gRNA_2834	RE62	749.8230769230768
gRNA_4745	RE102	727.798901098901
gRNA_4955	RE106	547.6010989010988
gRNA_3676	RE80	600.6593406593405
gRNA_6499	RE127	1245.3670329670326
gRNA_2246	RE55	1125.2351648351646
gRNA_3715	RE81	928.0186813186812
gRNA_1534	RE40	703.7725274725273
gRNA_6830	RE134	731.8032967032965
gRNA_6214	RE125	1293.41978021978
gRNA_6358	RE127	1272.396703296703
gRNA_365	RE15	1023.1230769230767
gRNA_2963	RE65	1408.5461538461536
gRNA_1577	RE42	1168.2824175824173
gRNA_5481	RE112	820.9010989010987
gRNA_88	RE6	796.874725274725
gRNA_1162	RE31	1328.4582417582415
gRNA_5867	RE120	985.0813186813184
gRNA_3240	RE70	1184.2999999999997
gRNA_4640	RE99	1047.1494505494504
gRNA_3668	RE80	768.8439560439558
gRNA_3733	RE81	1014.1131868131865
gRNA_5630	RE113	1686.851648351648
gRNA_594	RE20	710.7802197802196
gRNA_2862	RE63	1104.2120879120876
gRNA_5262	RE111	997.0945054945053
gRNA_1585	RE42	1304.4318681318678
gRNA_5988	RE121	1290.4164835164831
gRNA_4693	RE101	1094.2010989010987
gRNA_7040	RE138	583.6406593406592
gRNA_920	RE24	782.8593406593404
BRDN0000737881	NT	999.096703296703
gRNA_207	RE8	912.0010989010987
gRNA_6999	RE138	1033.1340659340658
gRNA_1247	RE32	1198.3153846153843
gRNA_1054	RE30	1541.6923076923074
BRDN0000737383	NT	625.6868131868131
gRNA_4563	RE97	760.8351648351646
gRNA_2054	RE50	1244.3659340659337
gRNA_1897	RE48	1030.130769230769
gRNA_4647	RE99	1354.486813186813
gRNA_3527	RE77	916.0054945054943
gRNA_3725	RE81	1098.2054945054942
gRNA_352	RE15	464.50989010989
gRNA_1883	RE48	1063.1670329670328
gRNA_1052	RE30	1028.1285714285711
gRNA_5670	RE114	1770.9439560439557
gRNA_3648	RE79	451.4956043956043
gRNA_3463	RE76	1278.4032967032965
gRNA_6749	RE130	599.6582417582416
gRNA_6235	RE125	1071.175824175824
gRNA_3128	RE68	1317.4461538461535
gRNA_6079	RE123	1752.9241758241753
gRNA_1316	RE35	1139.2505494505492
gRNA_487	RE17	1224.3439560439558
gRNA_4806	RE105	1022.1219780219778
gRNA_439	RE17	1173.2879120879118
gRNA_3673	RE80	759.8340659340657
gRNA_324	RE13	1223.342857142857
gRNA_6194	RE123	1131.241758241758
gRNA_4595	RE97	954.0472527472525
gRNA_606	RE20	841.9241758241757
gRNA_3566	RE78	987.0835164835163
gRNA_5679	RE114	1492.6384615384611
gRNA_5997	RE121	1325.4549450549448
gRNA_1548	RE40	943.0351648351647
gRNA_5073	RE107	1012.1109890109888
gRNA_5509	RE112	953.0461538461536
gRNA_2452	RE57	1032.1329670329667
gRNA_4910	RE105	918.0076923076921
gRNA_3179	RE68	342.3758241758241
gRNA_6617	RE128	1103.2109890109887
BRDN0000737637	NT	653.7175824175823
gRNA_6152	RE123	1012.1109890109888
gRNA_4506	RE96	1431.5714285714282
gRNA_4053	RE87	524.5758241758241
gRNA_5461	RE112	1542.6934065934063
gRNA_359	RE15	478.52527472527464
gRNA_2462	RE57	838.9208791208789
gRNA_5820	RE119	1353.485714285714
gRNA_785	RE22	1015.1142857142855
gRNA_1914	RE49	1348.4802197802194
gRNA_1084	RE30	963.0571428571426
gRNA_4868	RE105	1480.6252747252745
gRNA_3750	RE81	742.8153846153845
gRNA_3489	RE76	745.8186813186811
gRNA_544	RE18	1771.9450549450546
gRNA_1762	RE46	966.0604395604394
gRNA_3889	RE84	1378.5131868131864
gRNA_3167	RE68	834.9164835164834
gRNA_1747	RE45	899.9879120879119
gRNA_1336	RE36	1031.1318681318678
gRNA_5079	RE107	908.997802197802
gRNA_2339	RE55	939.030769230769
gRNA_1288	RE34	776.8527472527471
gRNA_6022	RE122	1078.1835164835163
