re	sgRNA	Negative|beta	Negative|z	Negative|p-value	Negative|fdr	Negative|wald-p-value	Negative|wald-fdr	Low|beta	Low|z	Low|p-value	Low|fdr	Low|wald-p-value	Low|wald-fdr	Medium|beta	Medium|z	Medium|p-value	Medium|fdr	Medium|wald-p-value	Medium|wald-fdr	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
RE104	13	0.040418	0.81144	0.28417	0.51299	0.41711	0.90676	0.032608	0.65429	0.35971	0.72464	0.51293	0.99032	-0.04276	-0.85857	0.079137	0.25	0.39058	0.994	-0.038477	-0.77256	0.16547	0.30128	0.43979	0.98292
RE107	83	0.016505	0.7253	0.54676	0.76768	0.46827	0.91638	-0.0023425	-0.10284	0.34892	0.72388	0.91809	0.99032	0.0045079	0.19822	0.84532	0.91797	0.84287	0.994	-0.0036156	-0.15897	0.73381	0.81746	0.87369	0.98361
RE4	44	-0.014781	-0.48918	0.11151	0.29464	0.62472	0.92585	0.028026	0.92687	0.11871	0.45833	0.354	0.99032	0.024042	0.79655	0.13669	0.35185	0.42571	0.994	-0.027494	-0.91061	0.046763	0.12264	0.3625	0.969
RE32	21	0.066259	1.3521	0.035971	0.11628	0.17633	0.62618	0.024914	0.5079	0.3741	0.72917	0.61152	0.99032	0.062586	1.278	0.010791	0.05	0.20127	0.994	0.0050384	0.10285	0.77338	0.83721	0.91808	0.98361
RE60	69	0.09858	3.7011	0	0	0.0002147	0.0018731	-0.033802	-1.2674	0.0035971	0.038462	0.20501	0.99032	-0.020452	-0.76786	0.028777	0.11429	0.44257	0.994	-0.02716	-1.0196	0.032374	0.097826	0.30789	0.94315
RE68	87	0.02602	0.97604	0.15827	0.36667	0.32905	0.88551	0.0040926	0.15336	0.75899	0.95045	0.87812	0.99032	9.2552e-05	0.0034738	0.51439	0.76064	0.99723	0.99937	0.0067823	0.25456	0.44604	0.60784	0.79906	0.98292
RE16	11	-0.036957	-0.37362	0.11511	0.29464	0.70869	0.93353	0.042892	0.43347	0.23381	0.67708	0.66467	0.99032	0.019525	0.19755	0.56115	0.79592	0.8434	0.994	0.036262	0.3669	0.20504	0.35185	0.7137	0.98292
RE3	7	-0.0088545	-0.1771	0.60072	0.77523	0.85943	0.96078	-0.015127	-0.30233	0.56475	0.83158	0.7624	0.99032	0.014223	0.28464	0.76978	0.86992	0.77592	0.994	-0.015432	-0.30879	0.66547	0.7839	0.75748	0.98292
RE94	29	0.037538	0.7489	0.20863	0.43284	0.45391	0.91441	0.026808	0.53456	0.29496	0.7193	0.59295	0.99032	-0.024049	-0.47987	0.061151	0.21795	0.63132	0.994	-0.033446	-0.66733	0.071942	0.17241	0.50456	0.98292
RE125	42	0.056352	1.6496	0.028777	0.1	0.099019	0.47461	-0.0025769	-0.07534	0.48921	0.8046	0.93994	0.99032	-0.02874	-0.84155	0.021583	0.088235	0.40004	0.994	-0.04246	-1.2431	0.035971	0.10638	0.21382	0.78211
RE24	31	0.025622	0.7149	0.39568	0.61798	0.47467	0.91638	0.024448	0.68168	0.32374	0.72388	0.49544	0.99032	0.039806	1.1113	0.014388	0.0625	0.26644	0.994	0.013332	0.37214	0.42806	0.60784	0.70979	0.98292
RE59	26	0.21622	3.4883	0	0	0.00048604	0.0037533	-0.089656	-1.4426	0	0	0.14913	0.99032	-0.067763	-1.0924	0	0	0.27467	0.994	-0.073906	-1.1913	0	0	0.23353	0.79317
RE92	13	0.021553	0.30212	0.68345	0.81897	0.76256	0.93353	0.023989	0.33542	0.54676	0.83158	0.7373	0.99032	-0.026191	-0.36767	0.21583	0.45455	0.71312	0.994	-0.1313	-1.8396	0.0035971	0.015625	0.065823	0.33887
RE33	28	0.0033958	0.083743	0.74101	0.85124	0.93326	0.96359	0.036494	0.89957	0.1223	0.45946	0.36835	0.99032	0.012513	0.30873	0.65108	0.82273	0.75753	0.994	-0.033671	-0.8306	0.057554	0.14545	0.4062	0.98292
